id,language,category,query,keyword,response,enabled
131,en,Settings,What experimental features are available on FuriOS?,"experimental, beta features, experimental settings",Open Mobile Settings > Experimental to access beta features that may change or be removed in future updates.,yes
132,en,Settings,What is Batman on FuriOS?,"batman, battery manager, power saving","Batman is the advanced battery manager for FuriOS. It controls power-saving features including CPU governors, offline cores, memory autosuspend, Wi-Fi/Bluetooth powersave, and USB autosuspend to extend battery life.",yes
133,en,Settings,How do I enable CPU power saving on FuriOS?,"cpu governor, power saving, battery life","Open the Batman app and enable Offline (turns off some CPU cores when idle), Governor Powersave (uses powersave governor on all CPUs), or GPU Powersave to reduce power consumption.",yes
134,en,Android Apps,How do I make phone calls on FuriOS?,"phone calls, dialer, call app","Open the Calls app (Phone). Use the dial pad to enter numbers, or tap Contacts to call a saved contact. The app also shows call history.",yes
135,en,Network & Connectivity,How do I add a VoIP/SIP account on FuriOS?,"voip, sip account, internet calling","Open the Calls app, go to menu > Preferences > VoIP Accounts, and tap Add Account. Enter your SIP server, user, password, port, protocol (UDP/TCP/TLS), and transport.",yes
136,en,General,How do I send text messages on FuriOS?,"sms, text messages, messaging",Open the Chats app to send and receive SMS/MMS messages. Tap the + button to start a new conversation.,yes
137,en,General,How do I set an alarm on FuriOS?,"alarm, wake up, alarm clock","Open the Clocks app and go to the Alarms tab. Tap + New to create a new alarm. Set the time, repeat days, and alarm name.",yes
138,en,General,How do I set a timer on FuriOS?,"timer, countdown, kitchen timer","Open the Clocks app and go to the Timer tab. Set the hours, minutes, seconds and tap Start.",yes
139,en,General,How do I use the stopwatch on FuriOS?,"stopwatch, lap timer","Open the Clocks app and go to the Stopwatch tab. Tap Start to begin timing, Lap to record lap times, and Stop to stop.",yes
140,en,General,How do I add a world clock on FuriOS?,"world clock, time zones, international time",Open the Clocks app and go to the World tab. Tap + New to add a city and see its local time.,yes
141,en,General,How do I check the weather on FuriOS?,"weather, forecast, temperature",Open the Weather app to see current conditions and forecast. Add locations using the search function.,yes
142,en,FuriOS / FuriPhone,How do I check CPU and memory usage on FuriOS?,"cpu usage, memory usage, system monitor","Open the Usage app. View tabs for Performance (CPU, memory graphs), Storage (disk usage), and Power (battery and power info).",yes
143,en,Storage & Recovery,How do I check storage space on FuriOS?,"storage, disk space, free space","Open the Usage app and go to the Storage tab to see total capacity, used space, and available space.",yes
144,en,General,What is the Convergence Hub (HUB1)?,"convergence hub, hub1, dock, desktop mode","The Convergence Hub (HUB1) ($70 USD) enables Linux desktop convergence. Ports: 1x Full HDMI, 1x Mini HDMI, 1x USB-A (3.2), 2x USB-C (3.2), 1x USB-C PD 100W (3.0), 1x RJ-45 1Gbps Ethernet, 1x 3.5mm headphone/mic jack. Requires the External Displays app. Learn more at furilabs.com/shop/hub1/",yes
145,en,General,How do I set up the Convergence Hub?,"hub setup, convergence setup, hub1 setup",Connect power to the USB-C PD 100W port (required). Connect your device to any USB-C (3.2) port. Connect an external display via either the Full HDMI or Mini HDMI port. Open the External Displays app to configure your display. The hub will charge your phone while providing desktop mode!,yes
146,en,Settings,Can I use other USB-C hubs with FuriOS?,"third party hub, displaylink, other dock, usb-c hub","Other USB-C hubs with DisplayLink chips may or may not work. FuriLabs focuses on the HUB1 to ensure a perfect convergence experience. For guaranteed compatibility, we recommend using the official Convergence Hub (HUB1).",yes
147,en,Hardware Features,How do I access USB drives on the Convergence Hub?,"usb drive, usb storage, flash drive, hub storage",Plug USB storage into the Hub's USB-A or USB-C ports. The drive will automatically appear in the Portfolio file manager app - no manual mounting needed!,yes
148,en,Settings,How do I use FuriOS with an external display?,"external display, monitor, hdmi, usb-c display","Connect your device to an external display via the Convergence Hub (HUB1). Open the External Displays app to configure your display, or use Mobile Settings > Convergence to enable docked mode.",yes
149,en,Settings,How do I configure external displays on FuriOS?,"external display settings, monitor settings, display arrangement","Open the External Displays app to configure resolution, refresh rate, orientation, and display arrangement for connected monitors.",yes
150,en,Hardware Features,How do I take a photo on FuriOS?,"camera, take photo, picture",Open the Camera app. Tap the shutter button to take a photo. Switch between front and rear cameras using the camera flip button.,yes
151,en,Hardware Features,How do I record video on FuriOS?,"video, record video, video camera",Open the Camera app and switch to video mode. Tap the record button to start recording.,yes
152,en,General,How do I view my photos on FuriOS?,"gallery, photos, pictures, view photos",Open the Gallery app (or Image Viewer) to browse and view your photos and videos.,yes
153,en,FuriOS / FuriPhone,How do I install apps on FuriOS?,"install apps, app store, software","Open the Software app (GNOME Software) to browse and install Linux apps. The Software app handles all permissions automatically - just click Install and enter your password when prompted. For Android apps, use Aurora Store or F-Droid in the Android container.",yes
154,en,FuriOS / FuriPhone,How do I install packages from the terminal on FuriOS?,"apt, apt-get, terminal install, command line install",Use sudo apt install package-name to install packages from the command line. For example: sudo apt install htop. The sudo command grants administrator privileges and will prompt for your password. Use sudo apt update first to refresh the package list.,yes
155,en,FuriOS / FuriPhone,What is sudo on FuriOS?,"sudo, root, administrator, superuser","sudo (superuser do) lets you run commands with administrator privileges. Prefix any command with sudo to run it as root, e.g., sudo apt update. You'll be prompted for your user password. The Software app uses sudo automatically behind the scenes.",yes
156,en,Storage & Recovery,How do I manage files on FuriOS?,"file manager, files, folders, browse files","Open Files (Nautilus) or Portfolio to browse, copy, move, and manage files on your device.",yes
157,en,General,How do I use the calculator on FuriOS?,"calculator, math, calculate",Open the Calculator app for basic and scientific calculations.,yes
158,en,General,How do I use the calendar on FuriOS?,"calendar, events, schedule",Open the Calendar app to view and manage your schedule. Add events by tapping on a date and entering event details.,yes
159,en,General,What is Phosh on FuriOS?,"phosh, phone shell, mobile shell","Phosh (Phone Shell) is the open-source graphical shell that powers FuriOS's mobile interface. Developed at phosh.org, it provides the home screen, app drawer, notifications, and quick settings. It's built on GTK and Wayland.",yes
160,en,General,What are the FLX1s hardware specifications?,"specs, specifications, hardware, flx1s","The FLX1s is a flagship Linux phone with MediaTek Dimensity 900 processor, 8GB RAM, 128GB storage, 6.7"" 90Hz display, triple cameras, 5G, and hardware privacy switches. Learn more at furilabs.com/shop/flx1s/",yes
161,en,General,What CPU does the FLX1s have?,"cpu, processor, chip, soc, chipset",The FLX1s uses the MediaTek Dimensity 900 SoC with 2x Cortex-A78 cores at 2.4GHz and 6x Cortex-A55 cores at 2.0GHz. It's a powerful 6nm octa-core processor.,yes
162,en,General,What GPU does the FLX1s have?,"gpu, graphics, mali, gaming",The FLX1s has a Mali-G68 MC4 GPU for graphics processing.,yes
163,en,General,How much RAM does the FLX1s have?,"ram, memory, how much ram",The FLX1s has 8GB LPDDR4X RAM.,yes
164,en,Storage & Recovery,How much storage does the FLX1s have?,"storage, internal storage, how much storage, gb",The FLX1s has 128GB UFS internal storage. You can also expand storage with a MicroSD card up to 1TB.,yes
165,en,Hardware Features,What cameras does the FLX1s have?,"camera, cameras, megapixel, photo quality","The FLX1s has three cameras: 20MP rear camera (f/1.8), 13MP front camera (f/2.0), and a 2MP macro camera (f/2.4).",yes
166,en,General,What is the FLX1s battery capacity?,"battery, battery life, mah, charging",The FLX1s has a 5000mAh Li-Po battery with wired USB-C charging.,yes
167,en,Network & Connectivity,What cellular bands does the FLX1s support?,"bands, lte, 5g, cellular, network bands","The FLX1s supports: 5G NR (n1/n2/n3/n5/n7/n8/n12/n20/n25/n28/n38/n40/n41/n48/n66/n71/n77/n78/n79), LTE-FDD (B1-B8/B12/B13/B17-B20/B25/B26/B28-B30/B32/B66/B71), LTE-TDD (B34/B38-B43/B46/B48), 3G (1/2/5/8/19), 2G GSM (850/900/1800/1900).",yes
168,en,Network & Connectivity,Does the FLX1s support 5G?,"5g, 5g support, 5g network","Yes! The FLX1s supports 5G and 5G ENDC. It covers many 5G NR bands including n1, n2, n3, n5, n7, n8, n12, n20, n25, n28, n38, n40, n41, n48, n66, n71, n77, n78, and n79.",yes
169,en,Network & Connectivity,Does the FLX1s have dual SIM?,"dual sim, sim slots, two sims, sim card, esim","The FLX1s has 2 SIM slots, but currently only SIM1 is enabled due to lack of app support. The SD card goes in SIM2. While built-in eSIM is not available, you can use eSIM adapters like jmp.chat in SIM1.",yes
170,en,Network & Connectivity,What WiFi and Bluetooth does the FLX1s support?,"wifi, bluetooth, wireless",The FLX1s supports WiFi 6.0 (802.11 a/b/g/n/ac/ax) and Bluetooth 5.2 with A2DP and LE.,yes
171,en,Storage & Recovery,Does the FLX1s have a MicroSD slot?,"microsd, sd card, expandable storage","Yes, the FLX1s has a MicroSD slot supporting cards up to 1TB.",yes
172,en,General,What are the FLX1s dimensions and weight?,"dimensions, weight, size, how big",The FLX1s measures 170mm x 76mm x 8mm and weighs 201g. Box dimensions: 180mm x 90mm x 28mm (total shipping weight: 321g).,yes
173,en,Settings,What screen does the FLX1s have?,"screen, display, resolution, refresh rate","The FLX1s has a 6.7"" HD+ display (1600x720) with 90Hz refresh rate and Asahi Dragontrail Glass for durability.",yes
174,en,General,What hardware switches does the FLX1s have?,"hardware switches, kill switches, privacy switches","The FLX1s has 3 hardware switches on the right side. From bottom to top: Microphone, Modem/GPS, and Camera. DOWN = OFF (disengaged/disconnected), UP = ON (engaged/connected). These physically disconnect the components for privacy.",yes
175,en,Android Apps,What happens if I toggle a hardware switch while an app is using it?,"switch toggle, kill switch issue, hardware switch problem","Toggling a hardware switch while an app is actively using that feature may cause unexpected behavior or app crashes. The OS loses the connection to the hardware. Usually closing and reopening the app fixes this. In rare cases, a reboot may be needed.",yes
176,en,General,What is the FLX1s made of?,"materials, build quality, construction","The FLX1s features a glass back cover, polycarbonate mid frame, and metal keys. It has life waterproofing (splash resistant, not submersible).",yes
177,en,General,Is the FLX1s waterproof?,"waterproof, water resistant, splash proof",The FLX1s has life waterproofing - it's resistant to splashes but should not be submerged in water.,yes
178,en,General,Is there a case for the FLX1s?,"phone case, protective case, rubber case, cover","Yes! FuriLabs offers a custom rubber case for the FLX1s with the FuriLabs logo on the back. It has precise cutouts for all buttons, hardware switches, microphones, and speakers. Available at furilabs.com/phone-case-flx1s/",yes
179,en,Shopping,Can I order phones in bulk for my business?,"bulk order, enterprise, business, mdm, fleet","Yes! VoidPhone.com offers bulk phone orders with enterprise features: custom logos, MDM (Mobile Device Management), dedicated software store, app version testing with Branchy, GPS phone location, remote wipe, and more. Visit VoidPhone.com for details.",yes
180,en,General,What is VoidPhone?,"voidphone, enterprise phones, business phones","VoidPhone.com provides enterprise Linux phone solutions including bulk orders with custom branding, MDM (Mobile Device Management), dedicated app stores, Branchy app testing, GPS tracking, and remote wipe capabilities.",yes
181,en,Shopping,Do I have to pay VAT or customs on my order?,"vat, customs, gst, import tax, duties","VAT, GST, and customs duties are the customer's responsibility and are not included in the order price. Fees vary by country - some countries like Germany and other EU countries may have significant import costs. We don't control what your country charges for overseas purchases.",yes
182,en,Shopping,How much does shipping cost?,"shipping cost, delivery cost, shipping price",We offer a global flat fee of $27 USD per 500g. The exact delivery cost is calculated automatically when placing your order. Make sure to include your phone number in shipping details so couriers can contact you. Verify your address with Google Maps to avoid shipping issues - post code and city must match.,yes
183,en,Shipping,How long does shipping take?,"shipping time, delivery time, how long, when arrive",Estimated delivery: 9 business days (90% of orders) to 15 business days (98% of orders). We select the best shipping provider for each country.,yes
184,en,Shopping,How do I track my order?,"order tracking, track shipment, where is my order","Once your order is dispatched, your account will be updated with tracking information. You can monitor the shipment's route and know when to expect delivery.",yes
185,en,Shipping,What countries do you ship to?,"shipping countries, international shipping, where ship",We ship worldwide except to Iran and North Korea. Shipping costs and delivery times are calculated at checkout based on your location.,yes
186,en,Network & Connectivity,Does the FLX1 / FLX1s work with US carriers?,"usa carriers, verizon, at&t, t-mobile, american carriers",T-Mobile and T-Mobile MVNOs (like Ting) work well. Verizon does NOT work - they only allow whitelisted phones. AT&T has registration and data issues. T-Mobile works great on the East Coast.,yes
187,en,Network & Connectivity,What carriers work with the FLX1 / FLX1s?,"carriers, mobile network, sim card, which carrier","Confirmed working carriers include: USA: T-Mobile, Ting. Canada: Rogers, Fido, Freedom Mobile. Australia: Telstra and MVNOs. UK: Three (SMARTY), Lebara. Germany: Vodafone, Telekom, Congstar, AldiTalk, Blau.de. See full list at furilabs.com/forum/flx1/confirmed-carriers/",yes
188,en,Network & Connectivity,What carriers work in Europe with the FLX1 / FLX1s?,"europe carriers, eu carriers, european networks","Germany: Vodafone, Telekom, Congstar, AldiTalk, Blau.de (O2). UK: Three (SMARTY), Lebara. France: Orange. Romania: Vodafone, Orange. Finland: DNA, Telia, Elisa. Austria: A1, Magenta, Drei. Czech: o2. Italy: TIM, Wind Tre, Iliad.",yes
189,en,Network & Connectivity,What carriers work in Latin America with the FLX1 / FLX1s?,"latin america, central america, south america, mexico carriers","Colombia: Claro. Costa Rica: Kölbi, Claro (visit a physical store to register SIM). El Salvador: Tigo. Panama: Tigo.",yes
190,en,Network & Connectivity,What carriers work in Asia with the FLX1 / FLX1s?,"asia carriers, india, taiwan","Taiwan: FarEasTone. India: Vi, Airtel.",yes
191,en,Settings,What are the Three UK MMS settings for FLX1 / FLX1s?,"three mms, uk mms, mms settings",Three UK MMS settings: APN: mob.asm.net | MMSC: http://mms.um.three.co.uk:10021/mmsc | Message Proxy: mms.three.co.uk:8799 | Username and Password: leave empty.,yes
192,en,General,Why doesn't my FLX1 / FLX1s work on Verizon?,"verizon not working, verizon problem, verizon imei",Verizon only allows whitelisted phones on their network. The FLX1/FLX1s is not on their whitelist and will not work. We recommend using T-Mobile or a T-Mobile MVNO in the USA instead.,yes
193,en,FuriOS / FuriPhone,What operating system do Furi Labs phones run?,"os, operating system, linux, furios","Our phones run FuriOS, a Debian-based Linux mobile operating system. It uses the Phosh graphical shell and supports both native Linux apps and Android apps via a container running LineageOS 20.",yes
194,en,Android Apps,Why does Aurora Store say apps are unavailable?,"aurora store unavailable, aurora not working, aurora store down, can't download apps","Aurora Store requires an active Wi-Fi or mobile data connection. It is an external store that FuriLabs does not manage. While it works most of the time, it can occasionally have issues outside of our control. If apps show as ""Unavailable"", they may require Google Play Services or be device-restricted.",yes
195,en,Settings,How do I turn off the volume button click sound?,"volume click, volume sound, touch feedback, button sound",Go to Settings > Sound and scroll down to find Touch feedback. Toggle this off to disable the click sound when adjusting volume or interacting with the screen.,yes
196,en,Storage & Recovery,Why can't I see all folders when connected via MTP?,"mtp folders missing, mtp not showing, usb file access, can't see downloads","MTP mode may not expose all subdirectories on some systems. For full file access, use SSH/SFTP instead. Install openssh-server with sudo apt install openssh-server, then connect from your computer using an SFTP client like FileZilla or Nautilus (sftp://furios@phone-ip).",yes
197,en,Storage & Recovery,Why isn't my phone charging with my USB-C cable?,"not charging, usb cable charging, charging problem, cable not working","Some USB-C cables are data-only or have limited power delivery capability. The cable supplied with your FLX1/FLX1s is verified for proper charging. If your phone isn't charging with a third-party cable, try the original cable or a known USB-C Power Delivery compatible cable.",yes
198,en,Community & Links,How do I verify my shipping address before ordering?,"verify address, check address, shipping address, google maps, post code","Before placing your order, verify your shipping address using Google Maps to avoid shipping issues. Make sure your post code and city match. Include your phone number so couriers can contact you.",yes
199,en,Hardware Features,Why won't the payment go through?,"payment not working, can't pay, checkout problem, payment failed","If you're having trouble with payment: 1) Disable all ad blockers and privacy extensions. 2) Use the latest version of Firefox or Chrome. 3) As a last resort, try using private/incognito browsing mode.",yes
200,en,General,Why can't I log in to my account?,"can't login, login problem, account login, password not working","If you created an account but can't log in, please check your email for a verification link. You must validate your email address before you can log in. Check your spam/junk folder if you don't see it in your inbox.",yes
201,en,Shopping,Can I checkout as a guest without creating an account?,"guest checkout, no account, buy without account, guest purchase",We do not offer guest checkout. An account is required so we can provide you with support and warranty service for your purchase.,yes
202,en,Android Apps,Can I pay with Bitcoin or other alternative payment methods?,"bitcoin, crypto, cryptocurrency, ethereum, dogecoin, venmo, cashapp, alternative payment","We do not support alternative payment methods such as Bitcoin, cryptocurrency, Venmo, Cash App, or other similar services. We accept standard credit/debit card payments through our checkout.",yes
203,en,General,Where can I visit the FuriLabs website?,"website, homepage, main site, furilabs site, home page, home link, furilabs page, furilabs link",Visit our main website at https://furilabs.com/,yes
204,en,General,Where can I read FuriLabs reviews?,"reviews, customer reviews, testimonials, feedback",Check out customer reviews and testimonials at https://furilabs.com/reviews/,yes
205,en,Shopping,Where is the FuriLabs shop?,"shop, store, buy, purchase, order, shop page, shop link, store page",Browse our products in the shop at https://furilabs.com/shop/,yes
206,en,Shopping,Where can I buy the FLX1s?,"buy flx1s, purchase flx1s, order flx1s, flx1s phone, flx1s page, flx1s link, flx1s product page",Purchase the FLX1s at https://furilabs.com/shop/flx1s/,yes
207,en,FuriOS / FuriPhone,Where can I buy the FLX1s bundle?,"flx1s bundle, bundle deal, package deal",Get the FLX1s bundle with accessories at https://furilabs.com/shop/flx1s-bundle/,yes
208,en,Shopping,Where can I buy a phone case?,"phone case, case, protective case, flx1s case",Browse phone cases at https://furilabs.com/phone-case-flx1s/ and https://furilabs.com/shockproof-phone-case-transparent/,yes
209,en,Shopping,Where can I buy a screen protector?,"screen protector, screen guard, tempered glass",Purchase screen protectors at https://furilabs.com/screen-protector-flx1s/ and https://furilabs.com/screen-protector/,yes
210,en,FuriOS / FuriPhone,Where is the FuriLabs blog?,"blog, articles, news, updates",Read our blog at https://furilabs.com/blog/,yes
211,en,General,Where can I search the FuriLabs site?,"search, find, look up",Use our search at https://furilabs.com/search/,yes
212,en,Community & Links,Where is the FuriLabs forum?,"forum, community forum, discussion board",Join discussions on our forum at https://furilabs.com/forum/,yes
213,en,FuriOS / FuriPhone,Where can I find the flash guide?,"flash guide, flashing, install os, firmware guide, flash link, flash page, flash url, flashing link, flashing page",View the flashing guide at https://furilabs.com/flash-guide/,yes
214,en,FuriOS / FuriPhone,Where can I see the changelog?,"changelog, updates, version history, release notes",Check the changelog at https://furilabs.com/changelog/,yes
215,en,General,Where is the privacy policy?,"privacy policy, privacy, data protection",Read our privacy policy at https://furilabs.com/privacy-policy/,yes
216,en,Shipping,Where can I find shipping information?,"shipping info, delivery info, shipping policy",View shipping information at https://furilabs.com/shipping/,yes
217,en,Support,What is the refund and returns policy?,"refund, returns, return policy, money back",Read our refund and returns policy at https://furilabs.com/refund_returns/,yes
218,en,Community & Links,Where is the FuriLabs GitHub?,"github, source code, open source, code repository",Visit our GitHub at https://github.com/FuriLabs,yes
219,en,General,Where is the full FAQ page?,"faq page, all faqs, faq list",Browse all FAQs at https://furilabs.com/faq/,yes
220,en,General,Where can I learn about FuriLabs?,"about, about us, company info, who are you",Learn more about FuriLabs at https://furilabs.com/about-us/,yes
221,en,General,Where is the FuriLabs timeline?,"timeline, history, roadmap, company history",View our timeline at https://furilabs.com/timeline/,yes
222,en,General,Where can I see FuriLabs media coverage?,"media, press, news coverage, in the media",See FuriLabs in the media at https://furilabs.com/furilabs-in-the-media/,yes
223,en,Support,How can I contact FuriLabs?,"contact, support, email, get in touch",Contact us at https://furilabs.com/contact/ or email contact@furilabs.com,yes
224,en,General,Where is the FuriLabs Telegram group?,"telegram, telegram group, telegram chat",Join our Telegram chat at https://t.me/furilabs_chat,yes
225,en,Community & Links,Where is FuriLabs on Mastodon?,"mastodon, fosstodon, social media",Follow us on Mastodon at https://fosstodon.org/@furilabs,yes
226,en,Community & Links,Where is the FuriLabs Matrix room?,"matrix, matrix chat, matrix room",Join our Matrix room at https://matrix.to/#/#FuriLabs:matrix.org,yes
227,en,Network & Connectivity,Where is FuriLabs on LinkedIn?,"linkedin, professional network",Connect on LinkedIn at https://www.linkedin.com/company/furilabs/,yes
228,en,Community & Links,Where is FuriLabs on Twitter/X?,"twitter, x, social media",Follow us on X/Twitter at https://x.com/FuriLabs,yes
229,en,General,Where is the FuriLabs YouTube channel?,"youtube, videos, channel",Watch our videos at https://www.youtube.com/@FuriLabs/videos,yes
230,en,Community & Links,Where is FuriLabs on Bluesky?,"bluesky, bsky, social media",Follow us on Bluesky at https://bsky.app/profile/furilabs.bsky.social,yes
231,en,Network & Connectivity,Where can I find APN configuration?,"apn, access point names, mobile data configuration, apn settings, apn url, apn link, apn page",View APN configurations at https://apn.how/ or the full configuration at https://android.googlesource.com/device/sample/+/master/etc/apns-full-conf.xml,yes
232,en,Shipping,Where can I find tracking details?,,Check your Order page in FuriLabs.com. The tracking number and link to further details will be there.,yes
233,en,FuriOS / FuriPhone,How do I SSH into my phone?,,"First install the SSH packages: sudo apt install openssh-server usb-tethering -y. Plug in a USB-C cable to your computer and then ssh furios@10.15.19.82. Alternatively you may need to go Settings > System > Secure Shell and toggle it on. Finally to connect over WiFi, get your IP from Settings > Wi-Fi > Connected Wifi > Click the Gear icon",yes
234,en,FuriOS / FuriPhone,Are other operating systems supported?,,"The Furi Labs team is simply not big enough to support other operating systems other than FuriOS which is fine tuned for our products such as the FLX1. While users are welcome to port other operating systems to the device and use it as they wish, our team does not have enough man power to support this.",yes
235,en,FuriOS / FuriPhone,How to access USB Mass Storage Device,,"To use the device storage in your computer over cable, you can go to settings->USB and enable MTP and change USB state to MTP",yes
236,en,FuriOS / FuriPhone,I bricked my phone because I did something,,You can boot into the recovery environment and do a factory reset which should get the device to a working state,yes
237,en,FuriOS / FuriPhone,Whats the difference between the stable and testing branches?,,Stable is considered our user ready FuriOS and testing can break or have features that have not been tested and can have unpredictable results.,yes
238,en,FuriOS / FuriPhone,Can I use Android apps?,,Yes. FuriOS allows for running apps inside a container running Android codenamed Andromeda. This container has complete integration with the host and makes all Android applications work like native applications,yes
239,en,FuriOS / FuriPhone,How can I use the Ticket Box feature?,,Open up the app Mobile Settings Scroll to Lockscreen and enable ticket box Select a directory to place your PDF's,yes
240,en,FuriOS / FuriPhone,How do I open up the keyboard manually,,You can open the keyboard by holding on the navigation bar at the bottom of the screen,yes
241,en,FuriOS / FuriPhone,How do I back up my phone?,,It is recommended to back up your phone before any monthly update. You can do it easily by following the below steps. Open up a terminal and navigate to the path where you want to save the backup. Download your $HOME directory via scp -r furios@FLX1_IP:/home/furios .,yes
242,en,FuriOS / FuriPhone,Is the device carrier unlocked?,,All Furi Labs devices are carrier unlocked internationally.,yes
243,en,FuriOS / FuriPhone,What is my Wifi IP Address?,,The IP is obtained via DHCP on your network usually. Get your IP from Settings > Wifi > Connected Wifi > Click the Gear icon See the SSH FAQ to connect.,yes
244,de,Netzwerk & Konnektivität,Wie aktiviere oder deaktiviere ich Mobilfunkbänder auf FuriOS?,"Bänder aktivieren, Bänder deaktivieren, Mobilfunkbänder","Gehen Sie zu Einstellungen > Mobiles Netzwerk > Enabled Bands, wählen Sie dann den Bandtyp aus, den Sie umschalten möchten (2G, 3G, 4G, usw.) und aktivieren oder deaktivieren Sie ihn.",yes
245,de,Netzwerk & Konnektivität,Wie schalte ich WLAN aus oder ein?,WLAN,Es gibt zwei Möglichkeiten. Die erste und einfachste ist: Von oben des Bildschirms nach unten wischen um die Quick Settings anzuzeigen und auf das WLAN tippen um es aus- oder einzuschalten. Die Farbe ändert sich zu grau/orange. Die zweite Möglichkeit ist: Gehen Sie zu Einstellungen > WLAN und schalten Sie WLAN an/aus.,yes
246,de,Einstellungen,Wie öffne ich die Einstellungs-App auf FuriOS?,"Einstellungen, Einstellungen öffnen, auf Einstellungen zugreifen","Sie können Einstellungen öffnen, indem Sie auf das Einstellungssymbol in Ihrer App-Liste tippen oder von oben des Bildschirms nach unten wischen um das Quick Settings Panel zu öffnen und auf das Zahnradsymbol unten rechts tippen.",yes
247,de,Netzwerk & Konnektivität,Wie verbinde ich mich mit einem WLAN-Netzwerk auf FuriOS?,"WLAN verbinden, WLAN beitreten, WLAN-Netzwerk",Gehen Sie zu Einstellungen > WLAN. Stellen Sie sicher dass WLAN aktiviert ist (Schalter an). Verfügbare Netzwerke werden unter Sichtbare Netzwerke angezeigt. Tippen Sie auf das Netzwerk das Sie verbinden möchten und geben Sie das Passwort ein falls erforderlich.,yes
248,de,Netzwerk & Konnektivität,Wie zeige ich meine gespeicherten WLAN-Netzwerke an?,"gespeichertes WLAN, gespeicherte Netzwerke, erinnertes WLAN",Gehen Sie zu Einstellungen > WLAN und tippen Sie auf Gespeicherte Netzwerke. Ein Popup wird angezeigt das alle zuvor verbundenen WLAN-Netzwerke zeigt. Von hier aus können Sie Ihre gespeicherten Verbindungen anzeigen und verwalten.,yes
249,de,Netzwerk & Konnektivität,Wie vergesse oder entferne ich ein gespeichertes WLAN-Netzwerk?,"WLAN vergessen, WLAN entfernen, gespeichertes Netzwerk löschen","Gehen Sie zu Einstellungen > WLAN, tippen Sie auf das verbundene oder gespeicherte Netzwerk um seine Details zu öffnen, scrollen Sie nach unten und tippen Sie auf die Mülltonne... um es aus Ihren gespeicherten Netzwerken zu entfernen.",yes
250,de,Netzwerk & Konnektivität,Wie verbinde ich mich mit einem versteckten WLAN-Netzwerk?,"verstecktes WLAN, verstecktes Netzwerk, unsichtbares WLAN","Gehen Sie zu Einstellungen > WLAN und tippen Sie auf Mit verborgenem Funknetzwerk verbinden.... Im Popup wählen Sie Ihren WLAN-Adapter aus, geben Sie den Netzwerknamen ein, wählen Sie den WLAN-Sicherheitstyp (Keine, WPA, WPA2 usw.), geben Sie das Passwort ein falls erforderlich und tippen Sie auf Verbinden.",yes
251,de,Netzwerk & Konnektivität,Wie schalte ich WLAN-Hotspot auf FuriOS ein?,"WLAN-Hotspot, Hotspot, Tethering, Internet teilen, mobiler Hotspot",Gehen Sie zu Einstellungen > WLAN und tippen Sie auf WLAN-Hotspot einschalten.... Ein Popup wird angezeigt wo Sie den Netzwerknamen (Standard: furiphoneflx1s) und das Passwort einstellen können. Tippen Sie auf Einschalten um den Hotspot zu aktivieren. Andere können sich dann verbinden um Ihr Internet zu teilen.,yes
252,de,Netzwerk & Konnektivität,Wie ändere ich meinen WLAN-Hotspot-Namen und Passwort?,"Hotspot-Name, Hotspot-Passwort, Hotspot ändern",Gehen Sie zu Einstellungen > WLAN und tippen Sie auf WLAN-Hotspot einschalten.... Im Konfigurationspopup können Sie die Felder Netzwerkname und Passwort bearbeiten bevor Sie den Hotspot einschalten.,yes
253,de,Netzwerk & Konnektivität,Wie schalte ich WLAN-Hotspot aus?,"Hotspot ausschalten, Hotspot deaktivieren, Hotspot stoppen","Wenn der Hotspot aktiv ist, gehen Sie zu Einstellungen > WLAN. Sie sehen den Text ""WLAN-Hotspot aktiv"" mit einem QR-Code. Tippen Sie auf WLAN-Hotspot ausschalten... um ihn zu deaktivieren und zum normalen WLAN-Modus zurückzukehren.",yes
254,de,Netzwerk & Konnektivität,Wie verbinden sich andere mit meinem WLAN-Hotspot?,"mit Hotspot verbinden, zum Hotspot beitreten, QR-Code Hotspot scannen",Wenn Ihr Hotspot aktiv ist wird ein QR-Code auf dem Bildschirm Einstellungen > WLAN angezeigt. Andere Geräte können diesen QR-Code scannen um sich automatisch zu verbinden oder können den Hotspot-Namen manuell suchen und das Passwort eingeben.,yes
255,de,Netzwerk & Konnektivität,Wie aktiviere ich Flugmodus auf FuriOS?,"Flugmodus, Flugmodus, Mobilfunk deaktivieren",Gehen Sie zu Einstellungen > WLAN und schalten Sie Flugmodus ein. Dies deaktiviert Mobilfunk. Sie können auch auf Flugmodus in den Quick Settings zugreifen indem Sie von oben des Bildschirms nach unten wischen.,yes
256,de,Netzwerk & Konnektivität,Wie zeige ich WLAN-Netzwerkdetails auf FuriOS an?,"WLAN-Details, Netzwerkinfo, WLAN-Informationen, IP-Adresse","Gehen Sie zu Einstellungen > WLAN und tippen Sie auf ein verbundenes Netzwerk. Der Reiter Details zeigt: Signalstärke, Sicherheitstyp, IPv4-Adresse, IPv6-Adresse, Hardware-Adresse (MAC), unterstützte Frequenzen (2,4 GHz/5 GHz), Standardroute und DNS.",yes
